2023-05-17 08:22: Experiment log path in: C:\旧电脑文件\毕业相关\第二个模型\TATCN\TARGCN\model\experiments\PEMSD4\20230517082243
2023-05-17 08:22: Horizon 01, MAE: 17.39, RMSE: 28.00, MAPE: 11.8839%
2023-05-17 08:22: Horizon 02, MAE: 18.11, RMSE: 29.10, MAPE: 12.2198%
2023-05-17 08:22: Horizon 03, MAE: 18.80, RMSE: 30.09, MAPE: 12.6541%
2023-05-17 08:22: Horizon 04, MAE: 19.34, RMSE: 30.90, MAPE: 12.9980%
2023-05-17 08:22: Horizon 05, MAE: 19.86, RMSE: 31.67, MAPE: 13.3821%
2023-05-17 08:22: Horizon 06, MAE: 20.31, RMSE: 32.30, MAPE: 13.6781%
2023-05-17 08:22: Horizon 07, MAE: 20.79, RMSE: 32.92, MAPE: 14.0496%
2023-05-17 08:22: Horizon 08, MAE: 21.22, RMSE: 33.48, MAPE: 14.3616%
2023-05-17 08:22: Horizon 09, MAE: 21.67, RMSE: 34.11, MAPE: 14.8170%
2023-05-17 08:22: Horizon 10, MAE: 22.02, RMSE: 34.60, MAPE: 15.0091%
2023-05-17 08:22: Horizon 11, MAE: 22.41, RMSE: 35.14, MAPE: 15.3046%
2023-05-17 08:22: Horizon 12, MAE: 22.87, RMSE: 35.70, MAPE: 15.5669%
2023-05-17 08:22: Average Horizon, MAE: 20.40, RMSE: 32.42, MAPE: 13.8271%
