2023-05-22 08:39: Experiment log path in: C:\旧电脑文件\毕业相关\第二个模型\TATCN\TARGCN\model\experiments\PEMSD4\20230522083953
2023-05-22 08:39: Train Epoch 124: 0/317 Loss: 19.315033
2023-05-22 08:40: Train Epoch 124: 20/317 Loss: 16.124470
2023-05-22 08:40: Train Epoch 124: 40/317 Loss: 18.742529
2023-05-22 08:40: Train Epoch 124: 60/317 Loss: 18.794619
2023-05-22 08:40: Train Epoch 124: 80/317 Loss: 20.563709
2023-05-22 08:40: Train Epoch 124: 100/317 Loss: 17.352715
2023-05-22 08:40: Train Epoch 124: 120/317 Loss: 17.111948
2023-05-22 08:40: Train Epoch 124: 140/317 Loss: 16.980553
2023-05-22 08:40: Train Epoch 124: 160/317 Loss: 18.050337
2023-05-22 08:40: Train Epoch 124: 180/317 Loss: 17.179077
2023-05-22 08:40: Train Epoch 124: 200/317 Loss: 17.478695
2023-05-22 08:40: Train Epoch 124: 220/317 Loss: 16.285669
2023-05-22 08:40: Train Epoch 124: 240/317 Loss: 17.852871
2023-05-22 08:41: Train Epoch 124: 260/317 Loss: 19.387243
2023-05-22 08:41: Train Epoch 124: 280/317 Loss: 19.134960
2023-05-22 08:41: Train Epoch 124: 300/317 Loss: 17.526787
2023-05-22 08:41: **********Train Epoch 124: averaged Loss: 18.086986, tf_ratio: 1.000000
2023-05-22 08:41: **********Val Epoch 124: average Loss: 19.546608
2023-05-22 08:41: ******Current best model saved:model_para/PEMSD4/epoch_124.pth!
2023-05-22 08:41: Train Epoch 125: 0/317 Loss: 17.067259
2023-05-22 08:41: Train Epoch 125: 20/317 Loss: 17.643192
2023-05-22 08:41: Train Epoch 125: 40/317 Loss: 17.084221
2023-05-22 08:41: Train Epoch 125: 60/317 Loss: 18.965509
2023-05-22 08:41: Train Epoch 125: 80/317 Loss: 16.333347
2023-05-22 08:41: Train Epoch 125: 100/317 Loss: 18.915731
2023-05-22 08:41: Train Epoch 125: 120/317 Loss: 17.434090
2023-05-22 08:42: Train Epoch 125: 140/317 Loss: 19.336233
2023-05-22 08:42: Train Epoch 125: 160/317 Loss: 18.340263
2023-05-22 08:42: Train Epoch 125: 180/317 Loss: 18.405174
2023-05-22 08:42: Train Epoch 125: 200/317 Loss: 19.386791
2023-05-22 08:42: Train Epoch 125: 220/317 Loss: 16.676592
2023-05-22 08:42: Train Epoch 125: 240/317 Loss: 15.946050
2023-05-22 08:42: Train Epoch 125: 260/317 Loss: 19.030788
2023-05-22 08:42: Train Epoch 125: 280/317 Loss: 19.253292
2023-05-22 08:42: Train Epoch 125: 300/317 Loss: 16.194401
2023-05-22 08:42: **********Train Epoch 125: averaged Loss: 18.023939, tf_ratio: 1.000000
2023-05-22 08:42: **********Val Epoch 125: average Loss: 20.361425
2023-05-22 08:42: Train Epoch 126: 0/317 Loss: 18.422945
2023-05-22 08:42: Train Epoch 126: 20/317 Loss: 18.949049
2023-05-22 08:43: Train Epoch 126: 40/317 Loss: 20.026192
2023-05-22 08:43: Train Epoch 126: 60/317 Loss: 16.615992
2023-05-22 08:43: Train Epoch 126: 80/317 Loss: 18.062336
2023-05-22 08:43: Train Epoch 126: 100/317 Loss: 18.493019
2023-05-22 08:43: Train Epoch 126: 120/317 Loss: 17.537786
2023-05-22 08:43: Train Epoch 126: 140/317 Loss: 17.511154
2023-05-22 08:43: Train Epoch 126: 160/317 Loss: 15.142562
2023-05-22 08:43: Train Epoch 126: 180/317 Loss: 20.524147
2023-05-22 08:43: Train Epoch 126: 200/317 Loss: 18.966690
2023-05-22 08:43: Train Epoch 126: 220/317 Loss: 17.193674
2023-05-22 08:43: Train Epoch 126: 240/317 Loss: 18.149660
2023-05-22 08:44: Train Epoch 126: 260/317 Loss: 17.629040
2023-05-22 08:44: Train Epoch 126: 280/317 Loss: 17.964560
2023-05-22 08:44: Train Epoch 126: 300/317 Loss: 19.072357
2023-05-22 08:44: **********Train Epoch 126: averaged Loss: 18.024165, tf_ratio: 1.000000
2023-05-22 08:44: **********Val Epoch 126: average Loss: 19.521949
2023-05-22 08:44: ******Current best model saved:model_para/PEMSD4/epoch_126.pth!
2023-05-22 08:44: Train Epoch 127: 0/317 Loss: 17.353014
2023-05-22 08:44: Train Epoch 127: 20/317 Loss: 15.569863
2023-05-22 08:44: Train Epoch 127: 40/317 Loss: 18.360891
2023-05-22 08:44: Train Epoch 127: 60/317 Loss: 17.868597
2023-05-22 08:44: Train Epoch 127: 80/317 Loss: 16.505392
2023-05-22 08:44: Train Epoch 127: 100/317 Loss: 16.999464
2023-05-22 08:44: Train Epoch 127: 120/317 Loss: 16.313299
2023-05-22 08:45: Train Epoch 127: 140/317 Loss: 18.009478
2023-05-22 08:45: Train Epoch 127: 160/317 Loss: 19.984943
2023-05-22 08:45: Train Epoch 127: 180/317 Loss: 17.755648
2023-05-22 08:45: Train Epoch 127: 200/317 Loss: 20.990118
2023-05-22 08:45: Train Epoch 127: 220/317 Loss: 17.560896
2023-05-22 08:45: Train Epoch 127: 240/317 Loss: 20.678453
2023-05-22 08:45: Train Epoch 127: 260/317 Loss: 19.047836
2023-05-22 08:45: Train Epoch 127: 280/317 Loss: 16.935480
2023-05-22 08:45: Train Epoch 127: 300/317 Loss: 16.887175
2023-05-22 08:45: **********Train Epoch 127: averaged Loss: 18.025568, tf_ratio: 1.000000
2023-05-22 08:45: **********Val Epoch 127: average Loss: 19.432009
2023-05-22 08:45: ******Current best model saved:model_para/PEMSD4/epoch_127.pth!
2023-05-22 08:45: Train Epoch 128: 0/317 Loss: 16.773376
2023-05-22 08:46: Train Epoch 128: 20/317 Loss: 17.707638
2023-05-22 08:46: Train Epoch 128: 40/317 Loss: 15.554471
2023-05-22 08:46: Train Epoch 128: 60/317 Loss: 18.772263
2023-05-22 08:46: Train Epoch 128: 80/317 Loss: 18.867643
2023-05-22 08:46: Train Epoch 128: 100/317 Loss: 16.538397
2023-05-22 08:46: Train Epoch 128: 120/317 Loss: 16.086973
2023-05-22 08:46: Train Epoch 128: 140/317 Loss: 17.760637
2023-05-22 08:46: Train Epoch 128: 160/317 Loss: 17.919605
2023-05-22 08:46: Train Epoch 128: 180/317 Loss: 15.616381
2023-05-22 08:46: Train Epoch 128: 200/317 Loss: 18.764009
2023-05-22 08:46: Train Epoch 128: 220/317 Loss: 17.994635
2023-05-22 08:46: Train Epoch 128: 240/317 Loss: 16.932322
2023-05-22 08:46: Train Epoch 128: 260/317 Loss: 18.592194
2023-05-22 08:47: Train Epoch 128: 280/317 Loss: 17.400999
2023-05-22 08:47: Train Epoch 128: 300/317 Loss: 19.223982
2023-05-22 08:47: **********Train Epoch 128: averaged Loss: 17.975738, tf_ratio: 1.000000
2023-05-22 08:47: **********Val Epoch 128: average Loss: 19.383980
2023-05-22 08:47: ******Current best model saved:model_para/PEMSD4/epoch_128.pth!
2023-05-22 08:47: Train Epoch 129: 0/317 Loss: 16.994589
2023-05-22 08:47: Train Epoch 129: 20/317 Loss: 18.083652
2023-05-22 08:47: Train Epoch 129: 40/317 Loss: 17.290577
2023-05-22 08:47: Train Epoch 129: 60/317 Loss: 17.796942
2023-05-22 08:47: Train Epoch 129: 80/317 Loss: 15.996413
2023-05-22 08:47: Train Epoch 129: 100/317 Loss: 16.704908
